"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"TOTAL_VOTOS";"DS_SIT_TOT_TURNO";"RECEITA_TOTAL";"FONTE_RECEITA";"ORIGEM_RECEITA";"BENS_TOTAL"
250002018915;"ROBERTO SELMER JÚNIOR";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";184;"NÃO ELEITO";2400;"OUTROS RECURSOS";"Recursos de pessoas físicas, Recursos próprios";252097,68
250002018937;"ROSANGELA CRISTINA DE MORAES";"#NULO";"MOBILIZA";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";261;"NÃO ELEITO";15000;"FUNDO ESPECIAL";"Recursos de partido político";12000
250002363848;"MÁRCIO ROBERTO OLIVEIRA";"#NULO";"PCO";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"#NE";"N";"DEFERIDO";37;"NÃO ELEITO";126265,73;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002170977;"KAREN CRISTINA SANTOS VASCONCELOS";"#NULO";"PRTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";1230;"NÃO ELEITO";12874,26;"FUNDO ESPECIAL";"Recursos de partido político";NA
250002171012;"VIVIANE PALMERO FARIAS";"#NULO";"PRTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";1194;"NÃO ELEITO";21609,54;"FUNDO ESPECIAL";"Recursos de partido político";10000
250002170993;"AILTON RODRIGUES MACHADO";"#NULO";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";2103;"NÃO ELEITO";32168,99;"FUNDO ESPECIAL";"Recursos de partido político";416449,18
250002170975;"ROGERIO JACOMO MICHELETTI";"#NULO";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";148;"NÃO ELEITO";8597,87;"FUNDO ESPECIAL";"Recursos de partido político";1103765
250002029402;"RODRIGO CARLOS DE MORAIS";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";6360;"NÃO ELEITO";301122,67;"FUNDO ESPECIAL";"Recursos de partido político";275000
250002029376;"MARIA HELOISA GOMES DA SILVA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";166;"NÃO ELEITO";25395,09;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de partido político";66581,1
250002029391;"ROGÉRIO VALDECI DE LIMA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";2091;"NÃO ELEITO";73143,67;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político, Recursos próprios";245000
250002029399;"JEFFERSON ELOY";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ASSISTENTE SOCIAL";"#NE";"N";"DEFERIDO";2403;"NÃO ELEITO";31072,68;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de partido político";NA
250002029355;"CARLOS EDUARDO BATISTA FERNANDES";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"#NE";"N";"DEFERIDO";16871;"NÃO ELEITO";574339,83;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político, Recursos de pessoas físicas";282500
250002029359;"IERZY IGNATOWICZ";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MOTORISTA PARTICULAR";"#NE";"N";"DEFERIDO";530;"NÃO ELEITO";39641,84;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de partido político";NA
250002029358;"FLORISA BATISTA DE ALMEIDA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ADVOGADO";"#NE";"N";"DEFERIDO";381;"NÃO ELEITO";27330,59;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de partido político";NA
250002029392;"MARIA MADALENA DE CARVALHO LIMA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"#NE";"N";"DEFERIDO";227;"NÃO ELEITO";44045,57;"FUNDO PARTIDARIO, FUNDO ESPECIAL";"Recursos de partido político";NA
250001913972;"JOSÉ ROBERTO NAZELLO DE ALVARENGA TRIPOLI";"#NULO";"PV";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"#NE";"S";"DEFERIDO";39039;"ELEITO POR QP";1273424,2;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos de partido político, Recursos de pessoas físicas";4996834,18
250001913941;"JOSÉ GERALDO ARAÚJO";"#NULO";"PT";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";27186;"SUPLENTE";1137279,15;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";1
250001913960;"ERIK CARLOS DA SILVA";"#NULO";"PT";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";4327;"SUPLENTE";72365,87;"FUNDO ESPECIAL, OUTROS RECURSOS";"Recursos de partido político, Recursos de pessoas físicas";NA
250001913946;"JAIR  JOSE TATTO";"#NULO";"PT";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"#NE";"N";"DEFERIDO";30905;"ELEITO POR QP";1105236,74;"OUTROS RECURSOS, FUNDO ESPECIAL";"Recursos próprios, Recursos de partido político, Recursos de outros candidatos, Recursos de pessoas físicas";765533,44
250001913930;"GREGORY FRANÇA NARESSI";"#NULO";"PT";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"#NE";"N";"DEFERIDO";349;"SUPLENTE";53839,55;"FUNDO ESPECIAL";"Recursos de partido político";5000
